match_id,balls_per_over,team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,bowl_out,reserve_umpire,event,match_number,method,eliminator,toss_uncontested
1307162,6,Afghanistan,Ireland,male,2022,2022-08-15,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,Rashid Khan,M Hawthorne,PA Reynolds,NA,G McCrea,Afghanistan,27,NA,NA,NA,Jareth McCready,Afghanistan tour of Ireland,4,NA,NA,NA
1307163,6,Afghanistan,Ireland,male,2022,2022-08-17,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,MR Adair,Jareth McCready,R Black,NA,G McCrea,Ireland,NA,7,NA,NA,M Hawthorne,Afghanistan tour of Ireland,5,D/L,NA,NA
1328473,6,Kuwait,Bahrain,male,2022,2022-08-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,field,Shahrukh Quddus,Anantha Rajamani,Harikrishna Pillai,NA,NA,Kuwait,102,NA,NA,NA,Azad KR,Bahrain tour of Oman,5,NA,NA,NA
1328849,6,Hong Kong,Singapore,male,2022,2022-08-20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Singapore,field,Ehsan Khan,BB Pradhan,Shiju Sam,Rahul Asher,Sarika Prasad,Hong Kong,8,NA,NA,NA,Naveen D'Souza,Men's T20 Asia Cup Qualifier,1,NA,NA,NA
1328850,6,United Arab Emirates,Kuwait,male,2022,2022-08-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Kuwait,field,ED Silva,Harikrishna Pillai,Rahul Asher,Tabarak Dar,Sarika Prasad,Kuwait,NA,1,NA,NA,Shiju Sam,Men's T20 Asia Cup Qualifier,2,NA,NA,NA
1328851,6,United Arab Emirates,Singapore,male,2022,2022-08-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Singapore,field,KP Meiyappan,Naveen D'Souza,Tabarak Dar,BB Pradhan,Sarika Prasad,United Arab Emirates,47,NA,NA,NA,Harikrishna Pillai,Men's T20 Asia Cup Qualifier,3,NA,NA,NA
1328852,6,Kuwait,Hong Kong,male,2022,2022-08-23,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Hong Kong,field,Yasim Murtaza,Rahul Asher,Shiju Sam,Harikrishna Pillai,Sarika Prasad,Hong Kong,NA,8,NA,NA,BB Pradhan,Men's T20 Asia Cup Qualifier,4,NA,NA,NA
1328853,6,Singapore,Kuwait,male,2022,2022-08-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Singapore,bat,Yasin Patel,Harikrishna Pillai,Tabarak Dar,Shiju Sam,Sarika Prasad,Kuwait,NA,6,NA,NA,Rahul Asher,Men's T20 Asia Cup Qualifier,5,NA,NA,NA
1328854,6,United Arab Emirates,Hong Kong,male,2022,2022-08-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Hong Kong,field,Ehsan Khan,BB Pradhan,Rahul Asher,Naveen D'Souza,Sarika Prasad,Hong Kong,NA,8,NA,NA,Tabarak Dar,Men's T20 Asia Cup Qualifier,6,NA,NA,NA
1328474,6,Kenya,Nepal,male,2022,2022-08-25,"Gymkhana Club Ground, Nairobi",Nairobi,Nepal,field,Sompal Kami,Charles Kariuki,D Odhiambo,NA,D Angara,Nepal,NA,5,NA,NA,Y Kaparo,Nepal tour of Kenya,1,NA,NA,NA
